;Pais;Fecha;Casos_media_7_dias;Muertes_media_7_dias;Porcentaje_vacunacion;Poblacion
9373;Hungary;2021-08-19;81.28571428571429;1.2857142857142858;57.11016692474136;9634162.0
9374;Hungary;2021-08-20;66.42857142857143;1.1428571428571428;57.11016692474136;9634162.0
9375;Hungary;2021-08-21;66.42857142857143;1.1428571428571428;57.11016692474136;9634162.0
9376;Hungary;2021-08-22;66.42857142857143;1.1428571428571428;57.11494160052529;9634162.0
9377;Hungary;2021-08-23;88.14285714285714;1.5714285714285714;57.12344259936671;9634162.0
9378;Hungary;2021-08-24;93.42857142857143;1.7142857142857142;57.1321615725374;9634162.0
9379;Hungary;2021-08-25;97.0;1.4285714285714286;57.139365105133166;9634162.0
9380;Hungary;2021-08-26;105.14285714285714;1.4285714285714286;57.14395294577774;9634162.0
9381;Hungary;2021-08-27;132.14285714285714;1.5714285714285714;57.14395294577774;9634162.0
9382;Hungary;2021-08-28;132.14285714285714;1.5714285714285714;57.14395294577774;9634162.0
9383;Hungary;2021-08-29;132.14285714285714;1.5714285714285714;57.14395294577774;9634162.0
9384;Hungary;2021-08-30;158.0;0.7142857142857143;57.16502379760689;9634162.0
9385;Hungary;2021-08-31;162.0;0.5714285714285714;57.1832817426155;9634162.0
9386;Hungary;2021-09-01;170.57142857142858;0.5714285714285714;57.19934956460146;9634162.0
9387;Hungary;2021-09-02;182.28571428571428;0.5714285714285714;57.2142963757512;9634162.0
9388;Hungary;2021-09-03;190.57142857142858;0.5714285714285714;57.2142963757512;9634162.0
9389;Hungary;2021-09-04;190.57142857142858;0.5714285714285714;57.2142963757512;9634162.0
9390;Hungary;2021-09-05;190.57142857142858;0.5714285714285714;57.29442789108175;9634162.0
9391;Hungary;2021-09-06;208.71428571428572;1.8571428571428572;57.33973541237941;9634162.0
9392;Hungary;2021-09-07;211.57142857142858;2.2857142857142856;57.402802651647335;9634162.0
9393;Hungary;2021-09-08;219.0;2.5714285714285716;57.4566111717864;9634162.0
9394;Hungary;2021-09-09;230.85714285714286;2.857142857142857;57.520290815122266;9634162.0
9395;Hungary;2021-09-10;241.71428571428572;3.5714285714285716;57.520290815122266;9634162.0
9396;Hungary;2021-09-11;241.71428571428572;3.5714285714285716;57.520290815122266;9634162.0
9397;Hungary;2021-09-12;241.71428571428572;3.5714285714285716;57.56118695118475;9634162.0
9398;Hungary;2021-09-13;273.85714285714283;4.0;57.601097012900546;9634162.0
9399;Hungary;2021-09-14;290.42857142857144;4.0;57.64223188275223;9634162.0
9400;Hungary;2021-09-15;308.2857142857143;5.285714285714286;57.70007811784772;9634162.0
9401;Hungary;2021-09-16;324.42857142857144;5.428571428571429;57.758900047559926;9634162.0
9402;Hungary;2021-09-17;346.7142857142857;5.285714285714286;57.758900047559926;9634162.0
9403;Hungary;2021-09-18;346.7142857142857;5.285714285714286;57.758900047559926;9634162.0
9404;Hungary;2021-09-19;346.7142857142857;5.285714285714286;57.82592196394456;9634162.0
9405;Hungary;2021-09-20;375.14285714285717;5.428571428571429;57.91091119289877;9634162.0
9406;Hungary;2021-09-21;381.2857142857143;5.571428571428571;58.0425261688562;9634162.0
9407;Hungary;2021-09-22;399.85714285714283;4.142857142857143;58.130899189779036;9634162.0
9408;Hungary;2021-09-23;409.57142857142856;3.857142857142857;58.2850174203008;9634162.0
9409;Hungary;2021-09-24;417.0;4.0;58.2850174203008;9634162.0
9410;Hungary;2021-09-25;417.0;4.0;58.2850174203008;9634162.0
9411;Hungary;2021-09-26;417.0;4.0;58.44397260498629;9634162.0
9412;Hungary;2021-09-27;432.85714285714283;5.0;58.49551834399297;9634162.0
9413;Hungary;2021-09-28;429.42857142857144;5.428571428571429;58.545932692433446;9634162.0
9414;Hungary;2021-09-29;435.85714285714283;6.0;58.59895235309517;9634162.0
9415;Hungary;2021-09-30;451.14285714285717;6.428571428571429;58.661448707215015;9634162.0
9416;Hungary;2021-10-01;472.2857142857143;6.857142857142857;58.661448707215015;9634162.0
9417;Hungary;2021-10-02;472.2857142857143;6.857142857142857;58.661448707215015;9634162.0
9418;Hungary;2021-10-03;472.2857142857143;6.857142857142857;58.661448707215015;9634162.0
9419;Hungary;2021-10-04;516.4285714285714;8.428571428571429;58.763014364923485;9634162.0
9420;Hungary;2021-10-05;520.5714285714286;9.571428571428571;58.80263379420027;9634162.0
9421;Hungary;2021-10-06;532.4285714285714;9.714285714285714;58.84759878440906;9634162.0
9422;Hungary;2021-10-07;561.5714285714286;9.857142857142858;58.896476932814714;9634162.0
9423;Hungary;2021-10-08;575.1428571428571;10.857142857142858;58.896476932814714;9634162.0
9424;Hungary;2021-10-09;575.1428571428571;10.857142857142858;58.896476932814714;9634162.0
9425;Hungary;2021-10-10;575.1428571428571;10.857142857142858;58.95260013273599;9634162.0
